k,exo,measure,value
5,Germany,Virality,0.0010496290533316755
5,Germany,Volume,4.0964834760144905e-06
5,Mexico,Virality,0.0009800853273393805
5,Mexico,Volume,4.023009756688652e-06
5,GerMex,Virality,0.0009204164995377101
5,GerMex,Volume,4.0964834760144905e-06
10,Germany,Virality,0.0008902969974036325
10,Germany,Volume,4.1095830382308056e-06
10,Mexico,Virality,0.0008165985011361324
10,Mexico,Volume,4.035873589150525e-06
10,GerMex,Virality,0.0008057615276044523
10,GerMex,Volume,4.1095830382308056e-06
15,Germany,Virality,0.0009621743314436875
15,Germany,Volume,4.1227508690811095e-06
15,Mexico,Virality,0.0008422875386434436
15,Mexico,Volume,4.048804456969743e-06
15,GerMex,Virality,0.000832642673638754
15,GerMex,Volume,4.1227508690811095e-06
20,Germany,Virality,0.0011171636246735989
20,Germany,Volume,4.135987475316911e-06
20,Mexico,Virality,0.0011046143539943365
20,Mexico,Volume,4.0618028578895696e-06
20,GerMex,Virality,0.0009452757230895107
20,GerMex,Volume,4.135987475316911e-06
25,Germany,Virality,0.0012225799956117264
25,Germany,Volume,4.1492933682765096e-06
25,Mexico,Virality,0.0012227236208178398
25,Mexico,Volume,4.074869293681063e-06
25,GerMex,Virality,0.0012225799956117264
25,GerMex,Volume,4.1492933682765096e-06
30,Germany,Virality,0.0011131531915586955
30,Germany,Volume,4.162669064813839e-06
30,Mexico,Virality,0.00111333066093092
30,Mexico,Volume,4.088004272184406e-06
30,GerMex,Virality,0.0011131531915586955
30,GerMex,Volume,4.162669064813839e-06
35,Germany,Virality,0.0011846241945730137
35,Germany,Volume,4.1761150864985285e-06
35,Mexico,Virality,0.0011848355817287663
35,Mexico,Volume,4.101208305237854e-06
35,GerMex,Virality,0.0011846241945730137
35,GerMex,Volume,4.1761150864985285e-06
40,Germany,Virality,0.0010134649049618868
40,Germany,Volume,4.18963196024916e-06
40,Mexico,Virality,0.0010137046535916125
40,Mexico,Volume,4.114481910244379e-06
40,GerMex,Virality,0.0010134649049618868
40,GerMex,Volume,4.18963196024916e-06
45,Germany,Virality,0.00010138202373567671
45,Germany,Volume,4.1278256095290014e-06
45,Mexico,Virality,0.00010165622063488144
45,Mexico,Volume,4.052443331408217e-06
45,GerMex,Virality,0.00010138202373567671
45,GerMex,Volume,4.1278256095290014e-06
50,Germany,Virality,0.0001332670669080258
50,Germany,Volume,4.141239930361042e-06
50,Mexico,Virality,0.00013366784318469637
50,Mexico,Volume,4.065611865381365e-06
50,GerMex,Virality,0.0001332670669080258
50,GerMex,Volume,4.141239930361042e-06
55,Germany,Virality,0.0002489420476773794
55,Germany,Volume,4.154725406030837e-06
55,Mexico,Virality,0.0002489420476773794
55,Mexico,Volume,4.078850244778334e-06
55,GerMex,Virality,0.0002489420476773794
55,GerMex,Volume,4.154725406030837e-06
