,root,virality,volume
0,"['1008366801321971712', '1008367939223945220']",1.0,1
1,"['1008365991640870912', '1008367934929080321']",4.0,2
2,"['1008366484094115846', '1008367957880303616']",4.0,2
3,"['1008367523060801536', '1008367960048586753']",4.0,2
4,"['1008363648367104006', '1008363883269115904']",1.0,1
5,"['1008360168801886211', '1008363896346902530']",4.0,2
6,"['1008363739584790536', '1008363899601719296']",1.0,1
7,"['1008363680524853249', '1008363979490684928']",25.0,5
8,"['1008363513520238592', '1008363983697530880']",1.0,1
9,"['1008363677446279176', '1008363995537928192']",4.0,2
10,"['1008361871274110976', '1008367257662251009']",1.0,1
11,"['1008364279102427144', '1008368518377721860']",1.0,1
12,"['1008359208423706626', '1008363557094912000']",1.0,1
13,"['1008362476348542976', '1008363577537753089']",4.0,2
14,"['1008364068825124864', '1008365521522364416']",1.0,1
15,"['1008365377892569088', '1008365527461490688']",1.0,1
16,"['1008361789732610049', '1008365530309451776']",4.0,2
17,"['1008363697667018753', '1008365541977927680']",1.0,1
18,"['1008360074891419649', '1008365543274045441']",100.0,10
19,"['1008364128573054976', '1008365544213540864']",1.0,1
20,"['1008362100153049088', '1008363247366561792']",1.0,1
21,"['1008358606033620992', '1008363253880238080']",25.0,5
22,"['1008366024259985409', '1008367584293597184']",1.0,1
23,"['1008367124157431809', '1008367592724049922']",49.0,7
24,"['1008363509783068672', '1008364399730491392']",4.0,2
25,"['1008358855837794306', '1008364429501698050']",49.0,7
26,"['1008363768231989248', '1008366967143714821']",144.0,12
27,"['1008366513991057414', '1008366988731867136']",1.0,1
28,"['1008363677446279176', '1008363995537928192']",4.0,2
29,"['1008365605844484096', '1008367000853377024']",1.0,1
30,"['1008366852731559936', '1008367007480320000']",1.0,1
31,"['1008361974730838018', '1008362681928175616']",4.0,2
32,"['1008361223358803968', '1008367700291141632']",1.0,1
33,"['1008364964153708545', '1008367713817804800']",4.0,2
34,"['1008363768231989248', '1008366967143714821']",144.0,12
35,"['1008364092841779200', '1008365128474128386']",1.0,1
36,"['1008365853933473793', '1008366727707680768']",16.0,4
37,"['1008366164001673217', '1008366732115890176']",1.0,1
38,"['1008366308038266880', '1008366733487374336']",1.0,1
